v,i,t
0.100, 97.635, 0.109
0.200, 94.259, 0.106
0.300, 95.224, 0.110
0.400, 95.230, 0.110
0.500, 94.070, 0.107
0.600, 94.692, 0.111
0.700, 92.144, 0.108
0.800, 93.131, 0.113
0.900, 93.760, 0.108
1.000, 90.178, 0.117
1.100, 93.209, 0.113
1.200, 90.910, 0.110
1.300, 91.591, 0.110
1.400, 91.014, 0.115
1.500, 89.217, 0.118
1.600, 90.101, 0.111
1.700, 91.402, 0.116
1.800, 88.897, 0.112
1.900, 89.340, 0.118
2.000, 88.142, 0.113
2.100, 88.971, 0.119
2.200, 87.874, 0.114
2.300, 85.818, 0.122
2.400, 88.859, 0.119
2.500, 85.062, 0.117
2.600, 85.125, 0.123
2.700, 85.477, 0.117
2.800, 84.414, 0.126
2.900, 83.350, 0.120
3.000, 83.612, 0.126
3.100, 82.578, 0.121
3.200, 82.533, 0.129
3.300, 80.739, 0.124
3.400, 80.798, 0.130
3.500, 76.704, 0.137
3.600, 77.696, 0.130
3.700, 77.195, 0.136
3.800, 74.993, 0.133
3.900, 71.694, 0.147
4.000, 72.227, 0.140
4.100, 68.400, 0.154
4.200, 66.583, 0.150
4.300, 64.429, 0.165
4.400, 59.163, 0.169
4.500, 56.480, 0.186
4.600, 50.970, 0.206
4.700, 46.852, 0.215
4.800, 39.153, 0.268
4.900, 32.949, 0.303
5.000, 25.275, 0.416